building_id,building_name,property_type,gross_floor_area,year_built,current_eui,latest_reporting_year,status,was_exempt_this_year,baseline_eui,target_2025_raw,target_2027_raw,target_2030_raw,target_2025_capped,target_2027_capped,target_2030_capped,is_mai,building_age,target_2025_final,target_2027_final,target_2030_final,hit_42_pct_cap,hit_mai_floor,gap_2025,gap_2027,gap_2030,pct_reduction_2030,pct_reduction_requested,penalty_2025,penalty_2027,penalty_2030_default,penalty_2028_optin,penalty_2032_optin,estimated_retrofit_cost,npv_penalties_default,npv_penalties_optin,total_penalties_default,total_penalties_optin,npv_advantage_optin,technical_difficulty_score,cash_flow_constrained,should_opt_in,decision_confidence,primary_rationale,data_recency,reporting_year_status
1001,baymont inn and suites denver airport,Hotel,58929.0,2009,67.7,2022,in compliance,False,80.4,71.6,66.4,61.1,71.6,66.4,61.1,0,15,71.6,66.4,61.1,False,False,-3.8999999999999915,1.2999999999999972,6.600000000000001,9.748892171344167,24.004975124378113,0.0,11491.154999999975,58339.710000000014,89454.22200000002,89454.22200000002,294645.0,48254.41752773411,120307.36930701855,69830.86499999999,178908.44400000005,-72052.95177928444,10,False,False,100,Already meets 2025 target,Latest data from 2022,Active in reporting year
1006,days inn and suites dia,Hotel,53785.0,1997,65.9,2023,in compliance,False,71.5,66.8,63.9,61.1,66.8,63.9,61.1,0,27,66.8,63.9,61.1,False,False,-0.8999999999999915,2.000000000000007,4.800000000000004,7.283763277693481,14.545454545454545,0.0,16135.500000000056,38725.20000000003,59378.64000000006,59378.64000000006,268925.0,38975.61027831161,79858.58925058349,54860.70000000009,118757.28000000012,-40882.978972271885,10,False,False,100,Already meets 2025 target,Latest data from 2023,Active in reporting year
1007,denver co sprk,Hotel,50127.0,2000,51.7,2024,in compliance,False,87.5,75.5,68.3,61.1,75.5,68.3,61.1,0,24,75.5,68.3,61.1,False,False,-23.799999999999997,-16.599999999999994,-9.399999999999999,0.0,30.17142857142857,0.0,0.0,0.0,0.0,0.0,250635.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2024,Active in reporting year
1010,denver co hies,Hotel,70848.0,1980,53.9,2024,in compliance,False,77.1,69.8,65.5,61.1,69.8,65.5,61.1,0,44,69.8,65.5,61.1,False,False,-15.899999999999999,-11.600000000000001,-7.200000000000003,0.0,20.752269779507127,0.0,0.0,0.0,0.0,0.0,354240.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2024,Active in reporting year
1011,quality inn & suites dia,Hotel,53920.0,1999,63.9,2023,in compliance,False,82.2,72.6,66.9,61.1,72.6,66.9,61.1,0,25,72.6,66.9,61.1,False,False,-8.699999999999996,-3.000000000000007,2.799999999999997,4.381846635367758,25.669099756691,0.0,0.0,22646.399999999976,34724.47999999997,34724.47999999997,269600.0,15090.25253743825,46701.103044126576,22646.399999999976,69448.95999999993,-31610.850506688326,10,False,False,100,Already meets 2025 target,Latest data from 2023,Active in reporting year
1013,ffis denver airport,Hotel,80287.0,1996,59.5,2023,in compliance,False,55.0,61.1,61.1,61.1,61.1,61.1,61.1,0,28,61.1,61.1,61.1,False,False,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,0.0,-11.090909090909093,0.0,0.0,0.0,0.0,0.0,401435.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2023,Active in reporting year
1014,0978-denver (airport/dia),Hotel,92657.0,1998,71.8,2024,in compliance,False,83.0,73.0,67.1,61.1,73.0,67.1,61.1,0,26,73.0,67.1,61.1,False,False,-1.2000000000000028,4.700000000000003,10.699999999999996,14.902506963788294,26.385542168674696,0.0,65323.185000000034,148714.48499999993,228028.87699999992,228028.87699999992,463285.0,152417.9178758757,306677.0209896151,214037.66999999995,456057.75399999984,-154259.10311373943,30,False,False,75,Already meets 2025 target,Latest data from 2024,Active in reporting year
1016,7001 tower road,Office,70086.0,2001,62.4,2024,in compliance,False,59.0,74.3,74.3,74.3,74.3,74.3,74.3,0,23,74.3,74.3,74.3,False,False,-11.899999999999999,-11.899999999999999,-11.899999999999999,0.0,-25.932203389830505,0.0,0.0,0.0,0.0,0.0,350430.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2024,Active in reporting year
1018,embassy suites dia,Hotel,143498.0,2002,48.0,2023,in compliance,False,49.5,67.2,67.2,67.2,67.2,67.2,67.2,0,22,67.2,67.2,67.2,False,False,-19.200000000000003,-19.200000000000003,-19.200000000000003,0.0,-35.757575757575765,0.0,0.0,0.0,0.0,0.0,717490.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2023,Active in reporting year
1019,springhill denver airport,Hotel,72203.0,1997,60.2,2023,in compliance,False,61.8,61.5,61.3,61.1,61.5,61.3,61.1,0,27,61.5,61.3,61.1,False,False,-1.2999999999999972,-1.0999999999999943,-0.8999999999999986,0.0,1.132686084142388,0.0,0.0,0.0,0.0,0.0,361015.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2023,Active in reporting year
1035,waller,K-12 School,112253.0,2006,48.1,2024,in compliance,False,66.6,58.1,53.1,48.0,58.1,53.1,48.0,0,18,58.1,53.1,48.0,False,False,-10.0,-5.0,0.10000000000000142,0.20790020790021085,27.92792792792792,0.0,0.0,1683.795000000024,2581.819000000037,2581.819000000037,561265.0,1121.9837047511403,3472.299517812381,1683.795000000024,5163.638000000074,-2350.315813061241,10,False,False,100,Already meets 2025 target,Latest data from 2024,Active in reporting year
1036,2963 - green valley ranch mob,Medical Office,45761.0,2007,60.6,2023,in compliance,False,68.3,69.0,69.0,69.0,69.0,69.0,69.0,0,17,69.0,69.0,69.0,False,False,-8.399999999999999,-8.399999999999999,-8.399999999999999,0.0,-1.0248901903367538,0.0,0.0,0.0,0.0,0.0,228805.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2023,Active in reporting year
1040,green valley ranch rec ctr,Other - Recreation,34126.0,1980,71.8,2023,pending revisions,False,60.3,87.9,87.9,87.9,87.9,87.9,87.9,0,44,87.9,87.9,87.9,False,False,-16.10000000000001,-16.10000000000001,-16.10000000000001,0.0,-45.77114427860698,0.0,0.0,0.0,0.0,0.0,170630.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2023,Active in reporting year
1042,dennis campus building #1,K-12 School,83833.0,2010,32.2,2024,in compliance,False,44.8,52.8,52.8,52.8,52.8,52.8,52.8,0,14,52.8,52.8,52.8,False,False,-20.599999999999994,-20.599999999999994,-20.599999999999994,0.0,-17.857142857142858,0.0,0.0,0.0,0.0,0.0,419165.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2024,Active in reporting year
1043,dennis campus building #2,K-12 School,36694.0,2010,18.5,2024,in compliance,False,20.2,52.8,52.8,52.8,52.8,52.8,52.8,0,14,52.8,52.8,52.8,False,False,-34.3,-34.3,-34.3,0.0,-161.38613861386136,0.0,0.0,0.0,0.0,0.0,183470.0,0.0,0.0,0.0,0.0,0.0,10,False,False,100,Already meets 2025 target,Latest data from 2024,Active in reporting year
